"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 03 00:13:59 ART 2024","Sat Aug 03 00:15:55 ART 2024","116412","","Prueba de validación","","Login exitoso 30","","Login exitoso 30",""
"broken","Sat Aug 03 00:15:55 ART 2024","Sat Aug 03 00:18:12 ART 2024","137172","","Prueba de validación","","Login exitoso 40","","Login exitoso 40",""
